clave,es
COMBATE_VIDAS,Usted  %s %d        %s  %s %d
COMPA_ADUANERO_NY,El inspector
COMPA_ADUANERO_NY_1,Diecinueve años mirando lo que entra por el puerto. Aquí entra menos.
COMPA_ADUANERO_NY_2,"Escribí un libro. No lo lea, es muy largo."
COMPA_ADUANERO_NY_3,"Preferiría no hacerlo. Pero lo hago igual, que para eso me pagan."
COMPA_BECARIO,El becario
COMPA_BECARIO_1,Llevo aquí cuatro años. En prácticas.
COMPA_BECARIO_2,No salgo en la nómina. Lo he preguntado tres veces.
COMPA_BECARIO_3,"Si un día no vengo, el sistema no lo va a notar."
COMPA_CORRESPONDENCIA,El auxiliar de correspondencia
COMPA_CORRESPONDENCIA_1,"Yo llevo la correspondencia. La de la casa, digo."
COMPA_CORRESPONDENCIA_2,Hay días en que uno es varios. Eso no consta en ningún sitio.
COMPA_CORRESPONDENCIA_3,Cuando salgo de aquí escribo. No es nada. No pregunte.
COMPA_CUNADO,Su compañero
COMPA_CUNADO_1,Yo eso lo tramitaba en papel y no fallaba nunca.
COMPA_CUNADO_2,"¿Ya te han dado el sello? A mí me lo dieron el segundo día. Bueno, el tercero."
COMPA_CUNADO_3,"Aquí lo que hay que saber es a quién preguntar. Yo lo sé, pero es que llevo mucho."
COMPA_EMPERADOR,El señor de la mesa del fondo
COMPA_EMPERADOR_1,Antes tenía otro trabajo. No se lo recomendaría a nadie.
COMPA_EMPERADOR_2,Los papeles se ordenan igual en todas partes. Eso lo aprendí tarde.
COMPA_EMPERADOR_3,Aquí nadie se levanta cuando entro. Es un alivio.
COMPA_EN_MEDIO,El de la mesa de en medio
COMPA_EN_MEDIO_1,¿Yo? De aquí. De la casa.
COMPA_EN_MEDIO_2,"Llevo más que el jefe. Que el anterior, también."
COMPA_EN_MEDIO_3,Nadie me ha dicho nunca de qué departamento soy. Yo tampoco pregunto.
COMPA_FIELATO,El del fielato
COMPA_FIELATO_1,"Yo estuve veinte años en el fielato. Cobrando el peaje, ahí parado."
COMPA_FIELATO_2,"Pinto. Selvas, sobre todo. No he visto ninguna."
COMPA_FIELATO_3,"Si le cuento lo que sueño, no me cree."
COMPA_JUBILACION,La que se jubila
COMPA_JUBILACION_1,Me quedan tres semanas. Ya no cojo nada nuevo.
COMPA_JUBILACION_2,Sé dónde está todo. Ya no es mi problema.
COMPA_JUBILACION_3,El truco de los últimos años es no aprender nada.
COMPA_RIEGOS,El de Riegos
COMPA_RIEGOS_1,"Yo vengo del Departamento de Riegos. Sí, de aquí. Lo cerraron."
COMPA_RIEGOS_2,Treinta años en esta mesa. Nadie me ha preguntado nunca qué hago.
COMPA_RIEGOS_3,Las cosas importantes pasan lejos y tarde. Uno se entera por el archivo.
COMPA_TELEFONO,El del teléfono
COMPA_TELEFONO_1,"…sí… sí… no, si yo lo entiendo…"
COMPA_TELEFONO_2,Llevo desde las nueve. No contestan.
COMPA_TELEFONO_3,"Un momento, que me tienen en espera desde ayer."
CUNADO_DERROTA_1,Es que se lo has puesto muy fácil.
CUNADO_DERROTA_2,"Bueno. Tampoco es para tanto. A ver, sí lo es."
CUNADO_DERROTA_3,Yo de ti no volvía a intentarlo hasta el jueves.
CUNADO_DERROTA_4,¿Ves? Por ir de frente.
CUNADO_EMPATE_1,Esto puede durar años. Literalmente. Yo he visto uno de nueve.
CUNADO_EMPATE_2,"Mira, así por lo menos no consta nada."
CUNADO_EMPATE_3,¿Bajamos luego a por café? Digo cuando acabe esto.
CUNADO_GANA_1,"Suerte. Una vez, ¿eh? Pero suerte."
CUNADO_GANA_2,Eso yo lo hacía todos los días antes de que lo digitalizaran.
CUNADO_GANA_3,"Claro, es que le has pillado con el turno cambiado."
CUNADO_GANA_4,"Bien, bien. Aunque yo habría ido por lo civil."
CUNADO_HABILIDAD_1,"Eso lo quitaron en la reforma. Bueno, o lo pusieron. Alguna de las dos."
CUNADO_HABILIDAD_2,¿Y eso se puede? Yo pregunto.
CUNADO_HABILIDAD_3,"Anda, si funciona. Pues nada."
CUNADO_LLEGADA_1,¿Es el careo? Uy. A ese yo no le habría acusado un lunes.
CUNADO_LLEGADA_2,Espera que me traigo la silla.
CUNADO_LLEGADA_3,"Yo tuve uno igual en el 96. Bueno, igual no. Parecido."
CUNADO_LLEGADA_4,"¿Has puesto el asunto en mayúsculas? Es que si no, no consta."
CUNADO_LLEGADA_5,"Yo esto lo veo desde aquí, que si me ven implicado me toca declarar."
CUNADO_PIERDE_1,Uy. Eso te lo iba a decir.
CUNADO_PIERDE_2,Ya. Es que ahí tenías que haber hecho lo otro.
CUNADO_PIERDE_3,"A mí me pasó igual. Bueno, a mí no, a uno de contabilidad."
CUNADO_PIERDE_4,"No pasa nada, hombre. Bueno, sí pasa, pero no pasa nada."
CUNADO_PIERDE_5,Es que has ido de frente. Con estos nunca de frente.
CUNADO_VICTORIA_1,"Bueno, bueno. Ya te vale, ya."
CUNADO_VICTORIA_2,"Enhorabuena. Ahora te toca el papeleo, que es lo gordo."
CUNADO_VICTORIA_3,"Yo lo habría cerrado el martes, pero oye, cada uno."
DIA_DESPERTAR_DE_GOLPE,"Se despierta de golpe. Día %d, y de esta noche no queda nada."
DIA_DICE,— %s
DIA_EN_EL_PUESTO,Se sienta en su puesto.
DIA_GATO_COME,"Le pone una lata: %d. Le quedan %d."
DIA_GATO_LLENO,"El cuenco está lleno. No le hace ni caso."
DIA_GATO_SIN_DINERO,"Una lata cuesta %d, y no lo tiene."
DIA_NOMINA,Nómina del día %d: %d (base %d + %d por %d expediente(s)).  Tiene %d.
DIA_NUEVO,Día %d.
INICIO_JORNADA_ESTADO,"%d en el bolsillo  ·  %d acciones por delante%s"
INICIO_JORNADA_GATO,"  ·  el gato espera en casa"
DIA_IMPREVISTO_IMPAGADO,  Imprevisto: %s. No había para resolverlo.
DIA_IMPREVISTO_PAGADO,  Imprevisto: %s. Se han ido %d.
DIA_ROTULO,Día %d  ·  %s  ·  %d en el bolsillo%s
DIA_SIN_GATO,  ·  sin gato
DIA_SIN_GATO_AVISO,  El gato no está.
DIA_VIVIR,Vivir cuesta %d. Le quedan %d.%s
ENTRADA_AUDITOR,AUDITOR EN TURNO: {usuario}
ENTRADA_COPIA_INDICES,"Copia parcial. No se restauran los índices; el volumen se monta sin ellos."
ENTRADA_COPIA_INTEGRA,Copia íntegra. Sin incidencias que reseñar.
ENTRADA_COPIA_SECTORES,"Copia con sectores ilegibles. Se restaura lo legible y se continúa."
ENTRADA_COPIA_SIN_CUENTA,"No consta cuántas veces se ha restaurado este volumen. El campo no admite ese número."
ENTRADA_NADIE_MIRA,NINGÚN OTRO USUARIO CONSTA CON ACCESO A ESTE VOLUMEN
ENTRADA_RESTAURANDO,RESTAURANDO COPIA DE SEGURIDAD
ENTRADA_SISTEMA,SIGA-98 · SISTEMA INTEGRAL DE GESTIÓN DE ARCHIVO
ENTRADA_VOZ_SOLO,"Lo que haga aquí no lo revisa nadie. Tampoco lo revisó nadie antes."
ENTRADA_VOZ_TURNO,"Acreditación vigente. Fecha de alta anterior a la contratación; el sistema no señala el desajuste."
ENTRADA_VOZ_VOLUMEN,"Volumen montado en modo lectura y escritura. Última salida limpia: no consta."
ESCRITORIO_AYUDA,Ayuda
ESCRITORIO_AYUDA_ABRIR,Doble clic: abrir programa.
ESCRITORIO_AYUDA_ARRASTRAR,Arrastra la barra de título para mover una ventana.
ESCRITORIO_AYUDA_BARRA,La barra inferior minimiza y restaura programas.
ESCRITORIO_AYUDA_CERRAR_MENU,Esc cierra el menú del sistema.
ESCRITORIO_AYUDA_TECLADO,Tab: recorrer controles. Intro/Espacio: activar.
ESCRITORIO_AYUDA_TITULO,Ayuda del terminal
ESCRITORIO_CABECERA,ARCHIVO CENTRAL 98
ESCRITORIO_CERRAR,Cerrar
ESCRITORIO_CERRAR_SESION,Cerrar sesión
ESCRITORIO_MARCA,ARCHIVO CENTRAL · TERMINAL 98
ESCRITORIO_MENU,MENÚ
ESCRITORIO_MINIMIZAR,Minimizar
ESCRITORIO_PROGRAMAS,Programas
ESCRITORIO_RELOJ,DÍA %02d
ESCRITORIO_RELOJ_VACIO,DÍA --
ESCRITORIO_SIGA_TITULO,SIGA-98
NAVEGADOR_ADELANTE,Adelante
NAVEGADOR_ATRAS,Atrás
NAVEGADOR_ATAJO_BUSCAR,Buscar en Web98 (Ctrl+F)
NAVEGADOR_ATAJO_DIRECCION,Ir a la barra de dirección (Ctrl+L)
NAVEGADOR_ATAJO_RECARGAR,Recargar la página actual (F5)
NAVEGADOR_BUSCAR,Buscar
NAVEGADOR_BUSCAR_ETIQUETA,Buscar:
NAVEGADOR_CACHE,Ver caché
NAVEGADOR_CACHE_PAGINA,[b]%s[/b]\nCopia guardada · día %d\n\n%s\n\n%s
NAVEGADOR_CACHE_TITULO,Copia en caché
NAVEGADOR_DIRECCION,Dirección
NAVEGADOR_DESCARGAR_SOFTWARE,Descargar %s
NAVEGADOR_ENLACE,Enlace
NAVEGADOR_ENLACES,Enlaces
NAVEGADOR_FAVORITO,Favorito
NAVEGADOR_FAVORITOS,Favoritos
NAVEGADOR_HISTORIAL,Historial
NAVEGADOR_INICIO,Inicio
NAVEGADOR_IR,Ir
NAVEGADOR_NO_ENCONTRADO,[b]No se puede encontrar la página[/b]\n%s\n\nCompruebe la dirección o vuelva al portal interno.
NAVEGADOR_PAGINA_OK,[b]%s[/b]\n%s\n\n%s\n\nCategoría: %s · vía: %s
NAVEGADOR_PRENSA_DATO,• %s: %s
NAVEGADOR_PRENSA_EDICION,Edición Web98 · jornada %d
NAVEGADOR_PRENSA_OPINION,[i]Opinión · %s[/i]
NAVEGADOR_PRENSA_SIN_ARTICULOS,No hay artículos disponibles para esta jornada.
NAVEGADOR_QUITAR_FAVORITO,Quitar favorito
NAVEGADOR_RECARGAR,Recargar
NAVEGADOR_RESULTADO_UNO,[b]Resultados para «%s»[/b]\n\n1 coincidencia en el índice local.
NAVEGADOR_RESULTADOS,[b]Resultados para «%s»[/b]\n\n%d coincidencias en el índice local.
NAVEGADOR_SERVIDOR_CAIDO,[b]Servidor no disponible[/b]\n%s\n\nEl servidor simulado no responde.
NAVEGADOR_SIN_TITULO,Sin título
NAVEGADOR_TEXTO_MAS,Texto +
NAVEGADOR_TEXTO_MENOS,Texto −
EXPLORADOR_ATRAS,Atrás
EXPLORADOR_ADELANTE,Adelante
EXPLORADOR_SUBIR,Subir un nivel
EXPLORADOR_RAIZ,Mi equipo
EXPLORADOR_VISOR_INICIAL,Seleccione una carpeta o abra un documento con doble clic o Enter.
EXPLORADOR_MEDIO_INSERTAR,Insertar
EXPLORADOR_MEDIO_RETIRAR,Retirar
EXPLORADOR_MEDIO_PAQUETE_NO_RECONOCIDO,Paquete de software no reconocido
EXPLORADOR_MEDIO_PAQUETE_FICHA,PAQUETE DE SOFTWARE — %s %s\n\n%s\n\nOrigen: %s
EXPLORADOR_MEDIO_SOFTWARE_DISPONIBLE,Software disponible desde el medio: %s
EXPLORADOR_MEDIO_RETIRADO_VENTANA,Medio retirado; la ventana permanece abierta
EXPLORADOR_MEDIO_RETIRADO,Medio retirado
EXPLORADOR_MEDIO_NO_DISPONIBLE,Medio no disponible
EXPLORADOR_MEDIO_INSERTADO,Medio insertado
EXPLORADOR_MEDIO_SOLO_LECTURA,solo lectura
EXPLORADOR_MEDIO_LECTURA_ESCRITURA,lectura/escritura simulada
TURNOS_97,TURNOS_97
BYTE_LUNAR_06,BYTE_LUNAR_06
FICHA_COMITE,COMITÉ
FICHA_PERSONA,PERSONA
FICHA_RECLAMANTE,[b]%s[/b]   ·   %s\n\n%s
HABILIDAD_ASAMBLEA,Asamblea
HABILIDAD_ASAMBLEA_EFECTO,"Esta ronda, el empate también golpea al rival."
HABILIDAD_COMISION,Comisión de seguimiento
HABILIDAD_COMISION_EFECTO,Revela la réplica que viene.
HABILIDAD_EXTERNALIZAR,Externalizar
HABILIDAD_EXTERNALIZAR_EFECTO,"Esta ronda el daño cuenta doble, gane quien gane."
HABILIDAD_MESA,Mesa de diálogo
HABILIDAD_MESA_EFECTO,Esta ronda nadie pierde vida.
HOJA_RUTA,Hoja de ruta
OFICIO_ATAQUE_1,Vengo por lo del expediente.
OFICIO_ATAQUE_2,Me dijeron que preguntara aquí.
OFICIO_ATAQUE_3,Llevo desde las siete.
OFICIO_ATAQUE_4,¿Es esta la ventanilla?
OFICIO_NOMBRE,Reclamante sin expediente asignado
OFICIO_RESUMEN,Se presenta cada mañana. No consta quién es ni qué reclama; el sistema le asigna un turno igualmente.
PUESTO_LEVANTARSE,Levantarse del puesto
SELLO_PLANTA_EN_ORDEN_TITULO,Planta en orden
SELLO_PLANTA_EN_ORDEN_DESCRIPCION,Inspección de cierre completada conforme al recorrido asignado.
SELLO_NOCHE_IMPRODUCTIVA_TITULO,Noche improductiva
SELLO_NOCHE_IMPRODUCTIVA_DESCRIPCION,Consta una noche sin documentos revisados ni expedientes cerrados.
SELLO_FIRMA_SIN_PRISA_TITULO,Firma sin prisa
SELLO_FIRMA_SIN_PRISA_DESCRIPCION,Jornada con expedientes cerrados sin imputaciones precipitadas.
SELLO_REINCORPORACION_ADMINISTRATIVA_TITULO,Reincorporación administrativa
SELLO_REINCORPORACION_ADMINISTRATIVA_DESCRIPCION,Consta reincorporación tras una reasignación de vida laboral.
SELLO_DESPERTAR_REGLAMENTARIO_TITULO,Despertar reglamentario
SELLO_DESPERTAR_REGLAMENTARIO_DESCRIPCION,Noche recorrida hasta su cierre ordinario sin despertar forzado.
SELLO_PASILLO_EN_REGLA_TITULO,Pasillo en regla
SELLO_PASILLO_EN_REGLA_DESCRIPCION,Actividad de bolos asentada en el registro interno del pasillo.
SALIDA_CONFIRMAR_ACEPTAR,Salir
SALIDA_CONFIRMAR_CANCELAR,Quedarse
SALIDA_CONFIRMAR_OFICINA,¿Salir de la oficina?
SALIDA_CONFIRMAR_TITULO,Confirmar salida
SALIDA_CUENCO,El cuenco
SALIDA_DESPERTAR,Despertar
SALIDA_DORMIR,Dormir
SALIDA_OFICINA,Salida
SALIDA_PUERTA_OFICINA,puerta de la oficina
SALIDA_PORTAL,Portal
SALIDA_PUESTO,Su puesto
SIN_FECHA_CORTA,s/f
SITIO_CALLE,De vuelta a casa
CALLE_ROTULO_OFICINA,ARCHIVO GENERAL · SIGA
CALLE_ROTULO_RECLAMACIONES,"VENTANILLA DE
RECLAMACIONES"
CALLE_ROTULO_TURNO,TURNO 07
CALLE_ROTULO_ELECTRODOMESTICOS,ELECTRODOMÉSTICOS
CALLE_ROTULO_VIDEOJUEGOS,VIDEOJUEGOS
CALLE_ROTULO_CARTUCHOS,CARTUCHOS · ROMS
CALLE_ROTULO_ALQUILERES,ALQUILERES
CALLE_ROTULO_FINCAS,ADMINISTRACIÓN DE FINCAS
CALLE_ROTULO_PAGO_ALQUILER,PAGO DEL ALQUILER
CALLE_PUERTA_SALIDA,puerta de salida
CALLE_PUERTA_VIDEOJUEGOS,puerta de Bit 98
CALLE_PUERTA_ELECTRODOMESTICOS,puerta de Electrodomésticos
CALLE_TIENDA_COMPRADO,tienda de videojuegos · %s comprado
CALLE_TIENDA_TODO_COMPRADO,tienda de videojuegos · ya tienes todo
CALLE_TIENDA_MANUAL_SERVICIO,Bit 98 · manual de servicio desbloqueado · tecla º
CALLE_TIENDA_FALLO_SIN_DINERO,tienda de videojuegos · no llega el dinero
CALLE_TIENDA_FALLO_SIN_STOCK,tienda de videojuegos · sin existencias
CALLE_TIENDA_FALLO_FUERA_DEL_TRAYECTO,tienda de videojuegos · cerrada
CALLE_TIENDA_FALLO_JORNADA_INVALIDA,tienda de videojuegos · cerrada
CALLE_TIENDA_FALLO_ROM_DESCONOCIDA,tienda de videojuegos · sin existencias
CALLE_TIENDA_FALLO_PRECIO_INVALIDO,tienda de videojuegos · sin existencias
SITIO_CASA,Casa
SITIO_OFICINA,"SIGA — Archivo, planta 4"
SUENO_DUELO_GANADO,"Se apaga. Esta vez no vuelve."
SUENO_DUELO_PERDIDO,"Se le impone. La noche se acaba aquí."
SUENO_DUELO_SEGUIR,Seguir
SUENO_DUELO_SE_QUEDA,%s no se aparta.
SUENO_DUELO_SIN_VIDA,"Ha descansado, aunque no le hacía falta."
SUENO_DUELO_VIDA,"Ha descansado. Le quedan %d."
SUENO_ROTULO,…
SUENO_PREPARAR_TITULO,MEMORIA NOCTURNA
SUENO_PREPARAR_AYUDA,"Elija hasta tres documentos leídos hoy. Puede repetirlos o dejar los huecos vacíos. Intro/A activa; Esc/B vuelve."
SUENO_PREPARAR_HUECOS,Tres huecos
SUENO_PREPARAR_DOCUMENTOS,Documentos leídos hoy
SUENO_PREPARAR_HUECO_VACIO,%d · vacío
SUENO_PREPARAR_HUECO,%d · %s
SUENO_PREPARAR_REPETIDA,%s · ×%d
SUENO_PREPARAR_CONFIRMAR,Dormir
SUENO_PREPARAR_CANCELAR,Volver
SUENO_PREPARAR_SIN_DOCUMENTOS,Hoy no hay documentos que llevarse.
SUENO_PREPARAR_COMPLETA,Los tres huecos están ocupados. Quite uno para añadir otro.
TAROT_ROTULO,{carta}
TAROT_SIN_NOMBRE,Una carta sin nombre
TAROT_VOZ,"Estaba dentro del expediente, escrita como si nada."
TRABAJILLO_COBRADO_ENCUESTAS,"Cuelga la última llamada. Le pagan %d. Tiene %d."
TRABAJILLO_COBRADO_SOBRES,"Cierra el último sobre. Le pagan %d. Tiene %d."
TRABAJILLO_COBRADO_TRANSCRIPCION,"Termina el lote. Le pagan %d. Tiene %d."
TRABAJILLO_ENCUESTAS,Hacer encuestas telefónicas
TRABAJILLO_RACHA,Otra noche seguida. Esta vez el sueño será todavía más corto.
TRABAJILLO_SOBRES,Rellenar sobres
TRABAJILLO_TRANSCRIPCION,Transcribir un lote
TRABAJILLO_YA_HECHO,No queda otro lote para esta noche.
VENTANILLA_ADELANTA,La comisión adelanta que la próxima réplica será: %s.
VENTANILLA_ATAQUE_INMINENTE,ATAQUE INMINENTE
VENTANILLA_ATENDIDA,RECLAMACIÓN ATENDIDA. Racha: %d.
VENTANILLA_HABILIDAD,%s (%d)
VENTANILLA_LLAME,Llame al siguiente turno.
VENTANILLA_MARCADOR,Racha: %d        Mejor marca: %d
VENTANILLA_NADIE,[i]Nadie en el mostrador.[/i]
VENTANILLA_NO_ATENDIDA,RECLAMACIÓN NO ATENDIDA. La racha vuelve a cero.
VENTANILLA_SE_PRESENTA,%s se presenta en el mostrador.
VENTANILLA_SIGUIENTE,Llamar al siguiente turno
VENTANILLA_TITULO,SIGA-98  —  VENTANILLA DE RECLAMACIONES
VENTANILLA_SALIR,Salir a la calle
VEREDICTO_EMPATE,ninguno cede
VEREDICTO_JUGADOR,se impone su objeción
VEREDICTO_RIVAL,se impone el mostrador
VISOR_BARRA_TITULO,SIGA-98  —  Sistema Integral de Gestión Administrativa   [Expediente %s]
VISOR_CABECERA,Folio %s   ·   %s   ·   %s
VISOR_CARTA,Carta localizada: %s
VISOR_CERRADO,EXPEDIENTE CERRADO. %s%s
VISOR_CONCEPTO,Concepto: %s
VISOR_COSTE_ACCION,1 acción
VISOR_COSTE_GRATIS,GRATIS
VISOR_COSTE_REGLA,Primera lectura nueva del día: GRATIS · siguientes: 1 acción · releer hoy: GRATIS
VISOR_DOCUMENTOS,Documentos del expediente:
VISOR_ELIJA,Seleccione un documento de la lista para abrirlo y leerlo.
VISOR_ESTADO,"%s   ·   Pistas: %d de %d   ·   Día %d   ·   Presupuesto: %d/%d acciones%s"
VISOR_IMPUTAR,Imputar responsabilidad…
VISOR_ITEM_COSTE,"%s  %s   ·   %s"
VISOR_MARCAR_FOLIO,☆ Marcar folio
VISOR_MARCADOR_GUARDADO,Folio marcado para recordarlo.
VISOR_MARCADOR_RETIRADO,Folio retirado de sus marcadores.
VISOR_PARTIDA_APARTADA,"PARTIDA ANTERIOR ILEGIBLE (%s), APARTADA EN %s"
VISOR_PRECIPITADA,  ·  ACUSACIÓN PRECIPITADA: consta en su hoja de servicio.
VISOR_QUITAR_MARCADOR,★ Quitar marcador
VISOR_REASIGNADO,"  ·  CESE POR ACUMULACIÓN: se le reasigna. Otra persona ocupará su puesto."
VISOR_RECONSTRUIR,Reconstruir expediente…
VISOR_RECONSTRUIR_AYUDA,Lea al menos dos documentos del expediente en esta jornada.
VISOR_RELACIONAR,Relacionar este documento…
VISOR_RELACIONAR_CON,Relacionar con %s
VISOR_RELACION_DISTINTO,Selecciona un segundo documento distinto.
VISOR_RELACION_LEA_ANTES,Lee el documento antes de relacionarlo.
VISOR_RELACION_NO_DEMOSTRADA,No has demostrado una relación directa entre %s y %s.
VISOR_RELACION_PRIMERO,Primer documento fijado: %s. Abre otro documento y vuelve a relacionar.
VISOR_RELACION_PRIMERO_INVALIDO,El primer documento ya no está disponible como lectura válida.
VISOR_RELACION_REGISTRADA,Relación registrada: %s
VISOR_RELACION_YA_REGISTRADA,Relación ya registrada: %s
VISOR_RESUELTO,   ·   EXPEDIENTE RESUELTO
VISOR_SIN_FECHA,sin fecha de registro
VISOR_SIN_JORNADA,SE ACABÓ LA JORNADA. Fiche la salida.
VOZ_CUNADO,— %s
ARCHIVO_TITULO,EXPEDIENTES
ARCHIVO_ITEM,%s %d/%d · %s
ARCHIVO_SELLADO,■
ARCHIVO_ABIERTO,□
ARCHIVO_CONFIDENCIAL,"CONFIDENCIAL · "
ARCHIVO_YA_FIRMADO,ESTE EXPEDIENTE YA TIENE VEREDICTO FIRME.
ARCHIVO_ERROR_GUARDAR,NO SE PUDO GUARDAR LA PARTIDA
HISTORIA_TITULO,La historia de la carta
HISTORIA_REINTENTAR,Reintentar guardado
HISTORIA_NO_DISPONIBLE,Esta carta no tiene historia disponible.
HISTORIA_OPCION,%s — %s
ARCHIVO_GUARDADO_HECHO,"PARTIDA GUARDADA. Puede seguir."

INICIO_TITULO,SIGA-98 · Expediente Legado
INICIO_CONTINUAR,Continuar partida
INICIO_NUEVA,Nueva partida
INICIO_CANCELAR,Cancelar
INICIO_EXISTENTE,Hay una partida guardada. Puedes continuar o empezar desde cero.
INICIO_BIENVENIDA,Empieza una nueva partida para entrar al archivo.
INICIO_CONFIRMAR,Se reiniciará todo el progreso. Se conservará una copia de la partida anterior. ¿Empezar desde cero?
INICIO_ERROR_REINICIO,No se pudo conservar la partida anterior. No se ha iniciado una nueva.
INICIO_ERROR_ENTRADA,No se pudo entrar al archivo. Puedes volver a intentarlo.
INICIO_CARGAR,Cargar partida
INICIO_CARGAR_TOOLTIP,Carga la partida guardada de este perfil.
INICIO_VENTANILLA,Ventanilla de reclamaciones
INICIO_ERROR_AJUSTES,No se pudieron abrir los ajustes.
INICIO_PERSONAJE,Crear / editar personaje
INICIO_PERSONAJE_TOOLTIP,Apariencia física y trasfondo del protagonista.
PERSONAJE_TITULO,EXPEDIENTE PERSONAL · ALTA DE EMPLEADO
PERSONAJE_SUBTITULO,La apariencia no modifica colisiones ni estadísticas. El trasfondo describe tu vida anterior a SIGA.
PERSONAJE_APARIENCIA,APARIENCIA
PERSONAJE_COMPLEXION,Complexión
PERSONAJE_CUERPO_DELGADO,Delgado
PERSONAJE_CUERPO_MEDIO,Medio
PERSONAJE_CUERPO_ROBUSTO,Robusto
PERSONAJE_ALTURA,Altura visual
PERSONAJE_HOMBROS,Hombros
PERSONAJE_CINTURA,Cintura
PERSONAJE_PIEL,Tono de piel
PERSONAJE_PIEL_CLARO,Claro
PERSONAJE_PIEL_MEDIO_CLARO,Medio claro
PERSONAJE_PIEL_MEDIO,Medio
PERSONAJE_PIEL_OLIVA,Oliva
PERSONAJE_PIEL_OSCURO,Oscuro
PERSONAJE_PIEL_MUY_OSCURO,Muy oscuro
PERSONAJE_CABELLO,Color de pelo
PERSONAJE_CABELLO_NEGRO,Negro
PERSONAJE_CABELLO_CASTANO_OSCURO,Castaño oscuro
PERSONAJE_CABELLO_CASTANO,Castaño
PERSONAJE_CABELLO_RUBIO_OSCURO,Rubio oscuro
PERSONAJE_CABELLO_CANOSO,Canoso
PERSONAJE_PEINADO,Peinado
PERSONAJE_PEINADO_CORTO,Corto
PERSONAJE_PEINADO_MEDIO,Medio
PERSONAJE_PEINADO_RAPADO,Rapado
PERSONAJE_PEINADO_RECOGIDO,Recogido
PERSONAJE_PRENDA,Prenda
PERSONAJE_PRENDA_CAMISA,Camisa
PERSONAJE_PRENDA_JERSEY,Jersey
PERSONAJE_PRENDA_CHAQUETA,Chaqueta
PERSONAJE_ROPA,Color de ropa
PERSONAJE_ROPA_GRIS,Gris oficina
PERSONAJE_ROPA_AZUL,Azul gastado
PERSONAJE_ROPA_MARRON,Marrón
PERSONAJE_ROPA_VERDE,Verde apagado
